Index,Sim Date Time,ChSOC0,ChvBatt0,ChSOC1,ChvBatt1,ChSOC2,ChvBatt2,ChSOC3,ChvBatt3
60,2022-06-28 11:43:03,0.201500034,3.433999712,0.251500053,3.485203208,0.301500127,3.535640003,0.321500028,3.548854213
61,2022-06-28 11:43:03,0.201525034,3.434041479,0.251525054,3.485244165,0.30152513,3.535679925,0.321525029,3.548883406
62,2022-06-28 11:43:03,0.201550035,3.434083103,0.251550055,3.485284746,0.301550132,3.535720168,0.321550029,3.548913009
63,2022-06-28 11:43:03,0.201575036,3.434124945,0.251575055,3.485325186,0.301575134,3.535760036,0.321575031,3.548942366
64,2022-06-28 11:43:03,0.201600037,3.434166165,0.251600056,3.485365485,0.301600135,3.53580011,0.321600031,3.548972135
65,2022-06-28 11:43:04,0.201625037,3.434207961,0.251625057,3.485405993,0.301625137,3.535839925,0.321625032,3.54900089
66,2022-06-28 11:43:04,0.201650038,3.434249255,0.251650057,3.48544683,0.301650139,3.535880061,0.321650032,3.549030384
67,2022-06-28 11:43:04,0.201675038,3.434290886,0.251675058,3.485487057,0.301675141,3.535919939,0.321675033,3.549059523
68,2022-06-28 11:43:04,0.201700039,3.434332255,0.251700059,3.485527612,0.301700143,3.535960255,0.321700033,3.549088744
69,2022-06-28 11:43:04,0.20172504,3.434374081,0.25172506,3.485568026,0.301725145,3.536000081,0.321725033,3.549117828
70,2022-06-28 11:43:04,0.201750041,3.434415165,0.251750061,3.485608533,0.301750147,3.536040113,0.321750034,3.549146885
71,2022-06-28 11:43:04,0.20177504,3.434456826,0.251775062,3.485648665,0.301775149,3.536079888,0.321775034,3.549176243
72,2022-06-28 11:43:04,0.201800041,3.434497745,0.251800062,3.485689359,0.301800151,3.53611952,0.321800035,3.549205466
73,2022-06-28 11:43:04,0.201825042,3.434539601,0.251825063,3.485729209,0.301825153,3.536159357,0.321825036,3.549234443
74,2022-06-28 11:43:05,0.201850043,3.434580835,0.251850065,3.485769856,0.301850155,3.536199749,0.321850036,3.549263612
75,2022-06-28 11:43:05,0.201875044,3.434622527,0.251875065,3.485810362,0.301875157,3.53623884,0.321875037,3.549292535
76,2022-06-28 11:43:05,0.201900045,3.434663477,0.251900065,3.485850025,0.301900159,3.536279063,0.321900038,3.549321541
77,2022-06-28 11:43:05,0.201925046,3.434704764,0.251925067,3.485890248,0.301925161,3.536318566,0.321925038,3.549350739
78,2022-06-28 11:43:05,0.201950047,3.434746509,0.251950068,3.485930918,0.301950163,3.536358623,0.321950039,3.549379363
79,2022-06-28 11:43:05,0.201975047,3.434787513,0.251975069,3.485971213,0.301975166,3.536398075,0.32197504,3.549408399
80,2022-06-28 11:43:05,0.202000048,3.434828133,0.25200007,3.486011133,0.302000168,3.536437964,0.32200004,3.549437518
81,2022-06-28 11:43:05,0.202025048,3.434869691,0.252025071,3.486051382,0.30202517,3.536477365,0.322025041,3.549466282
82,2022-06-28 11:43:06,0.202050049,3.434910866,0.252050072,3.486091372,0.302050173,3.536516972,0.322050041,3.549495019
83,2022-06-28 11:43:06,0.20207505,3.43495202,0.252075073,3.486131221,0.302075175,3.536556668,0.322075042,3.54952362
84,2022-06-28 11:43:06,0.202100051,3.434993512,0.252100074,3.486171398,0.302100177,3.53659634,0.322100042,3.549552633
